"snp_id","true_beta","beta_hat","inflacion_pct","tipo_error"
"SNP_2358",0.492460167219778,1.25689204890972,155.23,"Inflado (Curse)"
"SNP_7876",-0.633294774078035,-1.22998500807973,94.22,"Inflado (Curse)"
"SNP_9150",0.924656227239122,1.68985828465692,82.76,"Inflado (Curse)"
"SNP_2851",-0.910982163248077,-1.37993852052495,51.48,"Inflado (Curse)"
"SNP_3117",1.51369091399583,2.0115336991604,32.89,"Inflado (Curse)"
"SNP_6613",-2.01617417689497,-2.65101345375813,31.49,"Inflado (Curse)"
"SNP_535",1.42963094291594,1.83155754265423,28.11,"Inflado (Curse)"
"SNP_9979",-1.22205271871213,-1.54079740777843,26.08,"Inflado (Curse)"
"SNP_1420",-1.15433031874508,-1.44679379600633,25.34,"Inflado (Curse)"
"SNP_4342",1.24142370275266,1.51165300397466,21.77,"Inflado (Curse)"
"SNP_4847",-1.54070943697582,-1.2160930870659,-21.07,"Subestimado"
"SNP_4105",-1.42253579927248,-1.71233468920684,20.37,"Inflado (Curse)"
"SNP_1540",-1.45581222787893,-1.75172062477976,20.33,"Inflado (Curse)"
"SNP_1359",-1.8614077546449,-2.22723270634502,19.65,"Inflado (Curse)"
"SNP_1896",-1.4014156245754,-1.63860487323546,16.92,"Inflado (Curse)"
"SNP_1312",-1.05202323897748,-1.22326182732309,16.28,"Inflado (Curse)"
"SNP_6439",-1.65731552869343,-1.41439023245088,-14.66,"Subestimado"
"SNP_9176",-1.25167028326284,-1.43391466964853,14.56,"Inflado (Curse)"
"SNP_8915",1.3860771931624,1.19210781344089,-13.99,"Subestimado"
"SNP_5897",1.62132913828442,1.84078340950173,13.54,"Inflado (Curse)"
"SNP_1287",-1.52368235783906,-1.71183380624563,12.35,"Inflado (Curse)"
"SNP_7442",-2.06849645603766,-1.83386671507914,-11.34,"Subestimado"
"SNP_2312",-2.05818679610944,-2.2531593682574,9.47,"Inflado (Curse)"
"SNP_3150",-1.41386384416794,-1.52903920530471,8.15,"Inflado (Curse)"
"SNP_3697",1.64879331173333,1.51757579062247,-7.96,"Subestimado"
"SNP_8721",1.91033252678502,2.04857254319648,7.24,"Inflado (Curse)"
"SNP_106",1.77925362250744,1.90391613347632,7.01,"Inflado (Curse)"
"SNP_2408",-1.99409837141133,-1.86427756875053,-6.51,"Subestimado"
"SNP_5928",1.83370423282453,1.71779026184929,-6.32,"Subestimado"
"SNP_2572",-1.47357630835151,-1.56404932784423,6.14,"Inflado (Curse)"
"SNP_8887",-1.98156085055328,-1.91305918913427,-3.46,"Subestimado"
"SNP_7431",1.65225757237551,1.63544990880415,-1.02,"Subestimado"
"SNP_3576",-1.33833112512406,-1.33765132287932,-0.05,"Subestimado"
